Question_ID,Step_ID,Source,Question,Solution,Step,KC
574,1,ASDiv,Melissa scored 120 points in each game. How many points did she score in 10 games?,1200 (points),120*10=1200,5.NBT.B.5
371,1,ASDiv,"Andrew is having his friends over for game night. So he decided to prepare the snacks and the games. He started by making mini sandwiches. If he has 4 friends coming over and he made 3 sandwiches for each one of them, how many sandwiches did he make in total?",12 (sandwiches),4*3=12,3.OA.A.3
216,1,ASDiv,"It is Easter time and the kids in the neighborhood of Easterville are very excited about the annual Easter egg hunt. The parents have decided to hide the eggs in a lot of different places. They hid 55 eggs around the club house, 33 eggs around the village park and 22 eggs in the town hall garden. How many eggs were hidden in total?",110 (eggs),55+33+22=110,3.NBT.A.2
21,1,ASDiv,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,6 (birds),2+4=6,K.OA.A.2
1787,1,ASDiv,"Cody made 12 dollars mowing lawns over the summer. If he charged 4 bucks for each lawn, how many lawns did he mow?",3 (lawns),12/4=3,3.OA.A.3
2096,1,ASDiv,"It takes 4 ounces of cheese to make a burrito and 9 ounces for a taco. If you wanted 7 burritos and 1 taco, how many ounces of cheese would you need?",37 (ounces of cheese),(7*4)+(1*9)=37,4.OA.A.3
395,1,ASDiv,"Finally, she planned on going to the Halloween party in the village club house. She wanted to make sure that she will have the perfect costume so she rented 4 different costumes from the Halloween store. If each costume rent costs $2.00, how much did she spend on all the costumes?",8 (dollars),4*2=8,3.OA.A.3
846,1,ASDiv,"Three workers are working to cut the trees. Worker X can cut a tree every 16 min, Worker Y every 32 min and Worker C every 24 min. If they start cutting three trees at the same time at 7:48, at what time will they start cutting trees at the same time again?",0.391666667,"(7*60 (min/hour) + 48) + LCM[16,32,24] + 0 = 564 (min); 564/60 (min/hour)=9 r24; hh:mm=9:24","4.MD.A.2, 5.NBT.B.6"
2208,1,ASDiv,"At Billy's Restaurant a group with two adults and five children came in to eat. If each meal cost three dollars, how much was the bill?",21 (dollars),(2+5)*3=21,3.OA.D.8
2165,1,ASDiv,Oliver collected two seashells from the beach on Monday and two more on Tuesday. How many seashells did Oliver collect all together?,4 (seashells),2+2=4,K.OA.A.2
128,1,ASDiv,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?",51 (trucks),38+13=51,2.OA.A.1
1099,1,ASDiv,"A Girl Scout camp served half of their granola with breakfast. After dinner, they put the remaining 6250 g of granola on top of their yogurt dessert. How many kilograms of granola did the Girl Scout camp start with?",12.5 (kilograms of granola),6250 (g)*2 = 12500 (g); 12500/1000 (g/kg) = 12.5 (kg),4.MD.A.2
2277,1,ASDiv,Atomic fireballs come in packages of 9. Barbara ate 59 Atomic Fireballs. How many Atomic Fireballs does she have left?,5 (Atomic Fireballs),59/9=6 r5,4.NBT.B.6
289,1,ASDiv,"Thanksgiving came and their family hosted their building's Thanksgiving dinner. They prepared a lot of food so she asked her parents if they could donate some to the soup kitchen next bock. If they prepared 36 turkeys and gave 18 of it to the soup kitchen, how many were left for them to eat?",18 (turkeys),36-18=18,2.OA.A.1
179,1,ASDiv,Kim has 4 cousins. She wants to give each one 5 pieces of gum. How much gum will she need?,20 (pieces of gum),4*5=20,3.OA.A.3
445,1,ASDiv,There are 3 more sections that are undeveloped. Each of the remaining sections has a land area of 2435 square feet. What is the total area of the undeveloped land?,7305 (square feet),3*2435=7305,4.NBT.B.5
1311,1,ASDiv,A number added with thrice a number is 20. Convert this statement into algebraic equations and find the number.,5,x:The number; x+3x=20,6.EE.B.6
323,1,ASDiv,"The exit door leads to a river 487 inches across, if the bridge he needs to cross is only 295 inches, how much longer does he need to build if he wants to cross the river using the bridge?",192 (inches),487-295=192,4.MD.A.2
41,1,ASDiv,Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies. How many friends can't go to the movies?,7 (friends),15-8=7,1.OA.A.1
258,1,ASDiv,"The very first thing that Rachel tried when they reached England was the food. If she ate 276 grams of bacon and 147 grams of sausages, how much food did she eat in total?",423 (grams),276+147=423,2.NBT.B.7
2199,1,ASDiv,"A vase can hold nine flowers. If you had four carnations and twenty-three roses, how many vases would you need to hold the flowers?",3 (vases),(4+23)/9=3,3.OA.D.8
768,1,ASDiv,"If Tom plans to fix 158 watches at the rate of 12 watches per day, how many days does he need to fix the watches?",14 (days),158/12=13 r2,5.NBT.B.6
1164,1,ASDiv,"When Jenna works out, she spends 18 minutes doing cardio and 20 minutes doing resistance training. Leon's workout consists of 17 minutes of cardio and 18 minutes of resistance training. Who does a higher ratio of cardio to resistance training?",Leon,17/18=94.444%(Leon) > 18/20=90%(Jenna),6.RP.A.3
1318,1,ASDiv,One-third of a number minus seven gives eight. Find the number.,45,x:The number; (1/3)*x-7=8,6.EE.B.6
1317,1,ASDiv,The difference of 5 times a number and 17 is 23. Find the number and 5 times the number.,8; 40,x:The number; 5x-17=23,6.EE.B.6
1856,1,ASDiv,"A waiter had eighteen customers. If six left, how many customers would the waiter still have?",12 (customers),18-6=12,1.OA.A.1
2173,1,ASDiv,"Bianca had 45 coloring books. If she gave away 6 of them, but then bought 20 more, how many would she have total?",59 (coloring books),45-6+20=59,2.OA.A.1
2118,1,ASDiv,"While playing a game Sam had ninety-two points. If he scored another three points, how many points would he have total?",95 (points),92+3=95,2.OA.A.1
28,1,ASDiv,2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,1 (beavers),2-1=1,K.OA.A.2
865,1,ASDiv,The distance travelled by Ben and Tim is in the ratio 3:4. The distance travelled by Ben is 18 miles. Find the distance travelled by Tim.,24 (miles),3:4=18:24,6.RP.A.3
2085,1,ASDiv,Rosa is making a game board that is 16 inches by 24 inches. She wants to use square tiles. What is the largest tile she can use?,8 (tiles),"GCD(16,24)=8",6.NS.B.4
175,1,ASDiv,It is 2:00. What time will it be in three hours and forty-five minutes?,0.239583333,(2 (hour)*60 (min/hour) + 3 (hour)*60 (min/hour) + 45 (min))/60 (min/hour) =5 r45; hh:mm=5:45,4.MD.A.2
1210,1,ASDiv,"For a dinner party, Abraham is creating individual servings of starters. He has 9 carrot sticks and 18 celery sticks. If he wants each serving to be identical, with no food left over, what is the greatest number of servings Abraham can create?",9 (servings),"GCD(9,18)=9",6.NS.B.4
205,1,ASDiv,"Upon finishing the treehouse, Charlie's mother served them freshly baked cookies. If Charlie ate 15 cookies, his father ate 10 and his mother only ate 5, how many cookies were eaten in total?",30 (cookies),15+10+5=30,2.OA.A.1
1362,1,ASDiv,Last week Howard had 26 dollars. He washed windows over the weekend and now has 52 dollars. How much money did he make washing windows?,26 (dollars),52-26=26,2.OA.A.1
698,1,ASDiv,"Bruno had some story books. He lost 4 of them and his dad gave him 10 more books. If he had 39 books after that, how many books did Bruno have at first?",33 (books),39-10+4=33,2.OA.A.1
1192,1,ASDiv,Lindsey has 16 cans of regular soda and 8 cans of diet soda. She wants to create some identical refreshment tables that will operate during the football game. She also doesn't want to have any sodas left over. What is the greatest number of refreshment tables that Lindsey can stock?,8 (refreshment tables),"GCD(16,8)=8",6.NS.B.4
1355,1,ASDiv,A recipe for cookies calls for 3 cups of sugar. Katie has already put in half a cup. How many more cups does she need to put in?,2.5 (cups),3.0-0.5=2.5,4.MD.A.2
813,1,ASDiv,"There was 1,050 ml of tea in a pot. Anna poured the tea into some cups. If there were 65 ml of tea in each cup, how much tea was left in the pot?",10 (ml),1050/65=16 r10,5.NBT.B.6
1174,1,ASDiv,"Vivian sent 5 pieces of mail in April, 10 pieces of mail in May, 20 pieces of mail in June, and 40 pieces of mail in July. If this pattern continues, how many pieces of mail will Vivian send in August?",80 (pieces of mail),"5, 10, 20, 40, 80",3.OA.A.9
1940,1,ASDiv,"Adam picked thirty-five strawberries. After eating some, he had thirty-three left. How many strawberries did Adam eat?",2 (strawberries),35-33=2,2.OA.A.1
1240,1,ASDiv,An art museum had 15 pictures to split equally into 2 different exhibits. How many more pictures would they need to make sure each exhibit had the same amount?,1 (picture),15/2=7 r1; 2-1=1,"4.NBT.B.6, K.OA.A.2"
1234,1,ASDiv,"A coat factory had 29 coats. If they wanted to put them into 3 boxes, with the same number of coats in each box, how many extra coats would they have left over?",2 (coats),29/3=9 r2,4.NBT.B.6
284,1,ASDiv,"Some deer families are also moving out to avoid the shortage of grass that will result from occasional blizzards. If there are 79 deer families in the area and around 45 of them stayed, how many deer families moved out?",34 (deer families),79-45=34,2.OA.A.1
2276,1,ASDiv,Shirley sold 54 boxes of Trefoils. How many cases of 6 boxes does Shirley need to deliver?,9 (cases),54/6=9,3.OA.A.3
1293,1,ASDiv,A fast food restaurant had ninety-one hotdogs. After selling some they had twenty left. What's the difference between the number of hotdogs before selling and after selling?,71 (hotdogs),91-20=71,2.OA.A.1
1851,1,ASDiv,Ned ordered some pizzas for a party. During the party four were eaten. Now he has seven left. How many pizzas did Ned order for the party?,11 (pizzas),4+7=11,1.OA.A.1
348,1,ASDiv,"To add support on the house's connections, he decided to tie the wood joints with rope. He needs 185 feet of rope. If he has 46 feet of rope with him and at the moment he only needed 57 feet, how many feet of rope did his friends give to him?",82 (feet of rope),185-(57+46)=82,3.OA.A.8
1814,1,ASDiv,Ned was buying books about astronomy. He bought 8 books about the planets and 4 about the space program. How many books did he buy total?,12 (books),8+4=12,1.OA.A.1
970,1,ASDiv,"Rita is buying flower bulbs for her garden. She wants to buy the same number of tulips and daffodils. If tulip bulbs come in packs of 15 and daffodil bulbs come in packs of 16, what is the least number of each type of bulb Rita will need to buy?",240 (bulbs),"LCM[15,16]=240",6.NS.B.4
735,1,ASDiv,"A chess club has 3 members. If 4 new members are enrolled, how many total members are there in the chess club?",7 (members),3+4=7,K.OA.A.2
